Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D5, D6, D7, D8, D9",D_SOD-123,41,1N4148W,
"SW1, SW40",SW_MX_HS_CPG151101S11_1.25u,2,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW5, SW6, SW7, SW8, SW9",SW_MX_HS_CPG151101S11_1u,33,SW_Push,
"SW2, SW39, SW4, SW41",SW_MX_HS_CPG151101S11_1.5u,4,SW_Push,
"SW3, SW38",SW_MX_HS_CPG151101S11_1.75u,2,SW_Push,
U1,rp2040-tiny-smd,1,rp2040-tiny,
